anio,pais,cargo,nivel_experiencia,tipo_empleo,modalidad,industria,tamanio_empresa,sueldo_clp,sueldo_usd,habilidades,n_habilidades,tiene_cert_cloud,tiene_framework_ml
2023,Colombia,MLOps Engineer,Senior,Full Time,Remoto,Seguros,Startup,6350000,6978,"Deep Learning, Tableau, Excel, Looker, R, Docker, Power BI, Seaborn",8,False,False
2024,Chile,BI Analyst,Senior,Full Time,Híbrido,Manufactura,Grande (+500),3890000,4274,"TensorFlow, Estadística, Matplotlib, Machine Learning, Power Query, Computer Vision, Seaborn, SQL, Keras, FastAPI, Snowflake, AWS",12,True,True
2022,Chile,ML Engineer,Semi Senior,Contrato,Híbrido,Retail / E-Commerce,Mediana (50-500),3250000,3571,"Seaborn, TensorFlow, dbt, Kubernetes, Linux, Docker, Machine Learning",7,False,True
2024,Chile,Data Scientist,Semi Senior,Part Time,Remoto,Salud,Grande (+500),4020000,4417,"Matplotlib, Python, AWS, Keras, MLflow, NumPy, GCP",7,True,True
2022,Chile,ML Engineer,Junior,Full Time,Híbrido,Fintech / Banca,Grande (+500),3550000,3901,"NumPy, Azure, Seaborn, FastAPI, Looker, Snowflake",6,True,False
2022,México,ML Engineer,Lead,Full Time,Híbrido,Telecomunicaciones,Mediana (50-500),9770000,10736,"NLP, Machine Learning, Power Query, BigQuery, Docker, PyTorch, scikit-learn, Git, Airflow, Power BI, AWS",11,True,True
2023,Chile,MLOps Engineer,Junior,Full Time,Híbrido,Gobierno / Público,Startup,2070000,2274,"Power BI, Python, Docker, FastAPI, Deep Learning, scikit-learn",6,False,True
2023,Chile,Data Engineer,Senior,Full Time,Remoto,Salud,Pequeña (<50),5370000,5901,"PyTorch, Git, Kubernetes, Matplotlib, R, GCP, Machine Learning, Seaborn",8,True,True
2024,Chile,Data Scientist,Semi Senior,Full Time,Presencial,Minería,Grande (+500),5450000,5989,"Estadística, MLflow, TensorFlow, Linux, Python, Azure, Excel, Power Query",8,True,True
2022,Chile,NLP Engineer,Senior,Full Time,Híbrido,Seguros,Grande (+500),6080000,6681,"Linux, Snowflake, Excel, BigQuery, Machine Learning, Keras, Seaborn, Azure, TensorFlow, Deep Learning, Git",11,True,True
2023,Remoto Internacional,Data Engineer,Junior,Full Time,Presencial,Tecnología,Mediana (50-500),2250000,2472,"Spark, scikit-learn, Keras, Airflow",4,False,True
2024,Chile,Data Analyst,Junior,Full Time,Remoto,Telecomunicaciones,Grande (+500),2420000,2659,"Pandas, BigQuery, Keras, NLP, R, Spark",6,False,True
2022,México,NLP Engineer,Senior,Full Time,Híbrido,Salud,Grande (+500),5920000,6505,"R, Power BI, Seaborn, MLflow, BigQuery, Pandas, Machine Learning, NLP, Deep Learning, FastAPI",10,False,False
2024,Argentina,MLOps Engineer,Semi Senior,Full Time,Híbrido,Manufactura,Grande (+500),4050000,4450,"Deep Learning, Looker, Keras, Power BI, Kubernetes, Power Query, Linux",7,False,True
2024,Chile,BI Analyst,Lead,Full Time,Remoto,Tecnología,Mediana (50-500),8350000,9175,"Snowflake, BigQuery, Azure, Seaborn, AWS, Computer Vision, Keras, GCP, Docker, Git, Looker, NumPy",12,True,True
2024,México,Data Scientist,Senior,Full Time,Híbrido,Seguros,Grande (+500),8540000,9384,"Airflow, Keras, NumPy, Excel, MLflow, Looker, Tableau, AWS, Snowflake",9,True,True
2024,Chile,MLOps Engineer,Junior,Part Time,Híbrido,Tecnología,Pequeña (<50),2490000,2736,"Snowflake, Excel, Machine Learning, Looker",4,False,False
2023,Chile,BI Analyst,Junior,Contrato,Presencial,Salud,Mediana (50-500),1300000,1428,"GCP, Kubernetes, PyTorch, Keras, R, Power Query",6,True,True
2024,Chile,ML Engineer,Semi Senior,Full Time,Híbrido,Manufactura,Grande (+500),4270000,4692,"Keras, Azure, AWS, Snowflake, Seaborn, Kubernetes, SQL, Docker",8,True,True
2024,Chile,BI Analyst,Senior,Part Time,Híbrido,Retail / E-Commerce,Startup,3020000,3318,"BigQuery, Spark, FastAPI, Deep Learning, NLP, Estadística, scikit-learn, AWS",8,True,True
2023,Colombia,NLP Engineer,Semi Senior,Freelance,Híbrido,Salud,Startup,3510000,3857,"PyTorch, Airflow, Power BI, Deep Learning, Machine Learning, AWS",6,True,True
2022,Argentina,ML Engineer,Senior,Full Time,Remoto,Manufactura,Grande (+500),7580000,8329,"Keras, Machine Learning, Excel, Kubernetes, Estadística, Power Query, NLP, AWS, Python, Docker, SQL",11,True,True
2023,Chile,MLOps Engineer,Semi Senior,Full Time,Presencial,Retail / E-Commerce,Startup,3170000,3483,"scikit-learn, NumPy, Keras, PyTorch, SQL, Looker, Estadística",7,False,True
2022,Chile,NLP Engineer,Senior,Contrato,Híbrido,Telecomunicaciones,Startup,6300000,6923,"Airflow, Docker, Keras, Machine Learning, Power BI, Git, Looker",7,False,True
2024,Colombia,Data Analyst,Junior,Full Time,Híbrido,Fintech / Banca,Mediana (50-500),1970000,2164,"Power Query, BigQuery, SQL",3,False,False
2023,Argentina,Data Analyst,Senior,Full Time,Remoto,Salud,Startup,3340000,3670,"AWS, Excel, Seaborn, Tableau, Deep Learning, Airflow, dbt, Computer Vision, Linux, Machine Learning",10,True,False
2023,Chile,Data Scientist,Semi Senior,Full Time,Híbrido,Minería,Grande (+500),3610000,3967,"Matplotlib, Tableau, Spark, scikit-learn, NumPy",5,False,True
2022,Remoto Internacional,Data Engineer,Junior,Contrato,Presencial,Manufactura,Pequeña (<50),1320000,1450,"Deep Learning, AWS, PyTorch, Tableau, Matplotlib, Git",6,True,True
2022,México,NLP Engineer,Junior,Full Time,Presencial,Retail / E-Commerce,Grande (+500),2490000,2736,"Looker, Linux, BigQuery, Deep Learning, Airflow",5,False,False
2022,Chile,Data Scientist,Senior,Contrato,Híbrido,Retail / E-Commerce,Pequeña (<50),4660000,5120,"dbt, TensorFlow, Seaborn, Machine Learning, NLP, GCP, Looker, Kubernetes, Computer Vision",9,True,True
2024,México,BI Analyst,Lead,Full Time,Híbrido,Minería,Startup,5200000,5714,"Machine Learning, Excel, BigQuery, AWS, dbt, Keras, Azure, Power BI, R",9,True,True
2023,Colombia,BI Analyst,Senior,Full Time,Híbrido,Salud,Startup,2530000,2780,"Matplotlib, NLP, R, BigQuery, FastAPI, Docker, PyTorch, Pandas, Linux, SQL",10,False,True
2024,México,ML Engineer,Senior,Full Time,Híbrido,Educación,Pequeña (<50),3860000,4241,"Keras, NLP, R, PyTorch, Looker, TensorFlow, Git",7,False,True
2024,Chile,BI Analyst,Semi Senior,Full Time,Híbrido,Gobierno / Público,Grande (+500),2740000,3010,"Seaborn, NLP, Tableau, PyTorch, Airflow, AWS, GCP",7,True,True
2022,Colombia,BI Analyst,Senior,Full Time,Remoto,Retail / E-Commerce,Grande (+500),4770000,5241,"TensorFlow, Airflow, Snowflake, NLP, scikit-learn, FastAPI, Keras, Matplotlib, Spark, Deep Learning",10,False,True
2024,Argentina,ML Engineer,Junior,Full Time,Remoto,Tecnología,Startup,3790000,4164,"Pandas, Matplotlib, Tableau",3,False,False
2024,Chile,AI Engineer,Lead,Full Time,Presencial,Telecomunicaciones,Mediana (50-500),13170000,14472,"PyTorch, Spark, Power Query, SQL, AWS, dbt, MLflow, Deep Learning, Kubernetes, Linux",10,True,True
2024,Chile,Data Engineer,Semi Senior,Full Time,Remoto,Tecnología,Grande (+500),5500000,6043,"Estadística, BigQuery, Tableau, PyTorch, Azure, Pandas, R, Kubernetes, Machine Learning",9,True,True
2022,Chile,BI Analyst,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),1110000,1219,"TensorFlow, Snowflake, Keras",3,False,True
2024,Chile,AI Engineer,Junior,Contrato,Híbrido,Seguros,Mediana (50-500),3160000,3472,"Airflow, GCP, dbt",3,True,False
2022,Chile,Data Engineer,Semi Senior,Full Time,Híbrido,Gobierno / Público,Grande (+500),2850000,3131,"Keras, Azure, NumPy, R, Estadística, Machine Learning, Python, Power Query, SQL",9,True,True
2022,Chile,AI Engineer,Senior,Full Time,Híbrido,Gobierno / Público,Startup,4480000,4923,"BigQuery, MLflow, FastAPI, Deep Learning, TensorFlow, Linux, Computer Vision, NumPy, GCP, Keras, Kubernetes, R",12,True,True
2023,Chile,Data Scientist,Junior,Full Time,Híbrido,Educación,Startup,1450000,1593,"Pandas, Matplotlib, Linux, PyTorch, Seaborn",5,False,True
2022,Chile,ML Engineer,Junior,Full Time,Remoto,Minería,Grande (+500),3240000,3560,"MLflow, Git, Estadística",3,False,False
2024,Colombia,Data Analyst,Lead,Full Time,Presencial,Telecomunicaciones,Pequeña (<50),5930000,6516,"Power Query, Looker, Computer Vision, BigQuery, NLP, Keras, Spark, Python, R, GCP",10,True,True
2023,Chile,NLP Engineer,Lead,Full Time,Remoto,Retail / E-Commerce,Pequeña (<50),9660000,10615,"Deep Learning, MLflow, Python, scikit-learn, Docker, Tableau, NLP, PyTorch, Seaborn, AWS, Git, GCP, Linux, SQL",14,True,True
2023,Colombia,MLOps Engineer,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),2290000,2516,"dbt, TensorFlow, PyTorch, scikit-learn, GCP, AWS",6,True,True
2024,Argentina,BI Analyst,Semi Senior,Full Time,Remoto,Seguros,Mediana (50-500),2730000,3000,"R, PyTorch, NumPy, Deep Learning, Snowflake",5,False,True
2024,Chile,NLP Engineer,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),2430000,2670,"FastAPI, NumPy, Looker, Power Query, Matplotlib, MLflow",6,False,False
2022,México,AI Engineer,Semi Senior,Freelance,Híbrido,Fintech / Banca,Pequeña (<50),3630000,3989,"FastAPI, SQL, Deep Learning, Airflow, Looker, Pandas, Linux, Git, MLflow",9,False,False
2024,Chile,Data Analyst,Senior,Full Time,Remoto,Gobierno / Público,Startup,2970000,3263,"Keras, Spark, R, TensorFlow, scikit-learn, Python, Kubernetes, Azure, Docker, Tableau",10,True,True
2024,Argentina,MLOps Engineer,Senior,Full Time,Presencial,Educación,Startup,4620000,5076,"PyTorch, Snowflake, Docker, Pandas, NumPy, Spark, Airflow, GCP, Azure, Excel, Kubernetes, dbt",12,True,True
2022,Chile,BI Analyst,Semi Senior,Full Time,Remoto,Salud,Startup,1880000,2065,"Kubernetes, FastAPI, MLflow, Docker, Matplotlib, Deep Learning, Spark",7,False,False
2024,Chile,BI Analyst,Semi Senior,Full Time,Remoto,Manufactura,Pequeña (<50),2020000,2219,"Linux, Matplotlib, Keras, MLflow, SQL, Looker, Snowflake, R",8,False,True
2024,Chile,BI Analyst,Lead,Full Time,Remoto,Salud,Startup,6030000,6626,"dbt, PyTorch, scikit-learn, Spark, TensorFlow, SQL, NumPy, Airflow, Deep Learning, Pandas, Estadística, Computer Vision, Power BI",13,False,True
2022,México,MLOps Engineer,Semi Senior,Full Time,Híbrido,Minería,Grande (+500),5020000,5516,"Azure, Estadística, Deep Learning, Looker, Pandas, scikit-learn, Git, Keras, BigQuery",9,True,True
2024,Colombia,AI Engineer,Senior,Contrato,Híbrido,Tecnología,Mediana (50-500),9180000,10087,"AWS, Estadística, BigQuery, R, Snowflake, GCP, Linux",7,True,False
2024,Chile,NLP Engineer,Junior,Full Time,Remoto,Salud,Grande (+500),3300000,3626,"MLflow, Computer Vision, BigQuery, Snowflake, Power Query",5,False,False
2022,Chile,Data Engineer,Senior,Full Time,Remoto,Minería,Pequeña (<50),4930000,5417,"Computer Vision, Airflow, AWS, Python, Seaborn, Azure, Linux, Keras, MLflow, NumPy, Git, scikit-learn",12,True,True
2022,México,Data Engineer,Semi Senior,Full Time,Híbrido,Educación,Startup,2230000,2450,"AWS, PyTorch, Deep Learning, Pandas, Spark",5,True,True
2023,Chile,Data Scientist,Junior,Full Time,Híbrido,Retail / E-Commerce,Startup,1650000,1813,"Airflow, Seaborn, Spark",3,False,False
2024,Chile,Data Scientist,Senior,Full Time,Remoto,Minería,Pequeña (<50),7260000,7978,"FastAPI, TensorFlow, MLflow, Seaborn, BigQuery, Snowflake, Computer Vision, Tableau, Spark, Machine Learning, Kubernetes, Power Query",12,False,True
2024,México,BI Analyst,Semi Senior,Contrato,Híbrido,Manufactura,Startup,1580000,1736,"Excel, Snowflake, NLP, Seaborn, R, Computer Vision",6,False,False
2022,Argentina,ML Engineer,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),2410000,2648,"TensorFlow, Docker, Power Query, Excel, NLP, Airflow",6,False,True
2023,México,NLP Engineer,Senior,Full Time,Híbrido,Minería,Mediana (50-500),5880000,6461,"Computer Vision, FastAPI, SQL, Linux, PyTorch, Estadística, Python, Seaborn, scikit-learn, MLflow, R",11,False,True
2022,Chile,Data Scientist,Semi Senior,Freelance,Presencial,Tecnología,Grande (+500),3680000,4043,"R, MLflow, Estadística, AWS, Git, Tableau, Deep Learning, Pandas",8,True,False
2023,Chile,MLOps Engineer,Semi Senior,Full Time,Presencial,Educación,Startup,3140000,3450,"PyTorch, Matplotlib, TensorFlow, AWS, dbt, GCP, Airflow, Tableau, Seaborn",9,True,True
2024,Chile,Data Analyst,Senior,Full Time,Híbrido,Fintech / Banca,Pequeña (<50),4710000,5175,"Git, Kubernetes, Spark, Computer Vision, AWS, Tableau, PyTorch, scikit-learn, Seaborn, BigQuery, Power BI",11,True,True
2022,Chile,Data Scientist,Senior,Full Time,Remoto,Educación,Grande (+500),5810000,6384,"NLP, Power BI, Spark, R, GCP, Kubernetes, TensorFlow",7,True,True
2023,Chile,Data Analyst,Senior,Full Time,Híbrido,Fintech / Banca,Mediana (50-500),3360000,3692,"Pandas, BigQuery, Spark, FastAPI, NLP, Tableau, NumPy, Airflow, TensorFlow, Docker, Keras, PyTorch",12,False,True
2023,Chile,Data Scientist,Semi Senior,Full Time,Híbrido,Gobierno / Público,Mediana (50-500),2760000,3032,"Matplotlib, Git, Snowflake, Pandas, Estadística",5,False,False
2023,Argentina,MLOps Engineer,Junior,Full Time,Híbrido,Educación,Mediana (50-500),2330000,2560,"FastAPI, Keras, Computer Vision, Power BI",4,False,True
2023,Colombia,MLOps Engineer,Lead,Full Time,Híbrido,Manufactura,Mediana (50-500),7360000,8087,"Excel, NLP, Seaborn, BigQuery, dbt, Looker, Estadística, scikit-learn, SQL, PyTorch, GCP, NumPy, FastAPI, Matplotlib",14,True,True
2023,Colombia,Data Scientist,Senior,Full Time,Híbrido,Retail / E-Commerce,Mediana (50-500),4660000,5120,"Docker, GCP, TensorFlow, Deep Learning, Computer Vision, Looker, Matplotlib",7,True,True
2023,Colombia,Data Analyst,Semi Senior,Full Time,Presencial,Retail / E-Commerce,Pequeña (<50),1380000,1516,"FastAPI, Airflow, Seaborn, Power Query, Kubernetes, Power BI, Linux",7,False,False
2023,Chile,NLP Engineer,Senior,Full Time,Híbrido,Seguros,Mediana (50-500),5890000,6472,"Keras, SQL, Airflow, Estadística, BigQuery, Tableau, scikit-learn, Azure",8,True,True
2024,Chile,Data Analyst,Semi Senior,Full Time,Híbrido,Retail / E-Commerce,Startup,2160000,2373,"Power Query, Computer Vision, Azure, Matplotlib, Excel, Tableau, Seaborn, dbt",8,True,False
2022,Colombia,NLP Engineer,Junior,Contrato,Híbrido,Manufactura,Grande (+500),2670000,2934,"Python, Estadística, PyTorch",3,False,True
2023,Chile,Data Analyst,Junior,Full Time,Remoto,Telecomunicaciones,Grande (+500),1810000,1989,"Power Query, SQL, Python, Estadística, Looker, Deep Learning",6,False,False
2024,Chile,AI Engineer,Semi Senior,Full Time,Híbrido,Salud,Grande (+500),4980000,5472,"scikit-learn, BigQuery, Keras, Spark, Snowflake, FastAPI",6,False,True
2023,Chile,AI Engineer,Senior,Full Time,Remoto,Salud,Startup,8030000,8824,"Kubernetes, FastAPI, Excel, R, Power Query, GCP, Computer Vision, NLP",8,True,False
2023,Chile,NLP Engineer,Junior,Full Time,Remoto,Fintech / Banca,Mediana (50-500),3630000,3989,"scikit-learn, Snowflake, R, Kubernetes, Docker",5,False,True
2024,México,NLP Engineer,Junior,Full Time,Presencial,Tecnología,Pequeña (<50),2550000,2802,"Pandas, SQL, Docker, Keras",4,False,True
2024,Chile,MLOps Engineer,Lead,Contrato,Híbrido,Salud,Mediana (50-500),8870000,9747,"BigQuery, NumPy, Git, PyTorch, Linux, Matplotlib, Seaborn, R, Airflow, NLP, AWS, SQL",12,True,True
2024,Argentina,ML Engineer,Semi Senior,Freelance,Híbrido,Tecnología,Pequeña (<50),4600000,5054,"Pandas, SQL, dbt, NLP, Spark, TensorFlow, AWS, Looker",8,True,True
2024,Colombia,MLOps Engineer,Semi Senior,Full Time,Remoto,Gobierno / Público,Startup,4780000,5252,"Tableau, Excel, dbt, Keras, GCP, Matplotlib",6,True,True
2022,Chile,Data Engineer,Senior,Contrato,Remoto,Seguros,Pequeña (<50),4980000,5472,"Seaborn, dbt, scikit-learn, PyTorch, R, Excel, Docker, Kubernetes, Snowflake, Estadística",10,False,True
2024,Chile,MLOps Engineer,Junior,Full Time,Híbrido,Tecnología,Pequeña (<50),2530000,2780,"Git, Python, MLflow, Estadística, Excel",5,False,False
2023,Chile,Data Analyst,Semi Senior,Full Time,Remoto,Telecomunicaciones,Startup,2460000,2703,"Keras, Tableau, Azure, Machine Learning, PyTorch, Docker, BigQuery, Spark",8,True,True
2022,México,ML Engineer,Semi Senior,Full Time,Híbrido,Retail / E-Commerce,Startup,2970000,3263,"FastAPI, Python, Linux, NumPy, Estadística, BigQuery",6,False,False
2024,Chile,MLOps Engineer,Senior,Freelance,Híbrido,Seguros,Startup,8190000,9000,"FastAPI, Pandas, GCP, Deep Learning, Azure, Excel, Looker, Power Query",8,True,False
2023,Chile,AI Engineer,Senior,Contrato,Híbrido,Minería,Mediana (50-500),9080000,9978,"Seaborn, TensorFlow, GCP, AWS, NumPy, Git, dbt, Python, BigQuery, Kubernetes",10,True,True
2023,México,Data Analyst,Semi Senior,Full Time,Presencial,Salud,Grande (+500),2380000,2615,"FastAPI, Spark, Airflow, Keras, Matplotlib, Docker",6,False,True
2024,Chile,MLOps Engineer,Junior,Full Time,Híbrido,Gobierno / Público,Startup,2230000,2450,"BigQuery, R, Seaborn, Excel, Power BI, Git",6,False,False
2022,Chile,Data Analyst,Senior,Full Time,Híbrido,Seguros,Mediana (50-500),3390000,3725,"Linux, NumPy, Machine Learning, scikit-learn, Python, Power BI, PyTorch, TensorFlow, Airflow, Seaborn, Estadística, dbt",12,False,True
2024,Chile,Data Analyst,Semi Senior,Full Time,Presencial,Educación,Startup,2080000,2285,"Matplotlib, SQL, Deep Learning, scikit-learn, Keras, Docker",6,False,True
2023,Remoto Internacional,ML Engineer,Junior,Part Time,Remoto,Telecomunicaciones,Pequeña (<50),2660000,2923,"Matplotlib, Deep Learning, scikit-learn, NLP, Seaborn, BigQuery",6,False,True
2022,Chile,NLP Engineer,Junior,Full Time,Presencial,Salud,Grande (+500),2790000,3065,"scikit-learn, Azure, Spark, Snowflake, AWS",5,True,True
2023,Chile,Data Engineer,Semi Senior,Full Time,Remoto,Educación,Startup,3220000,3538,"Machine Learning, Linux, SQL, GCP, Kubernetes, MLflow",6,True,False
2024,Colombia,MLOps Engineer,Semi Senior,Contrato,Remoto,Retail / E-Commerce,Mediana (50-500),4420000,4857,"scikit-learn, BigQuery, AWS, Seaborn, Pandas",5,True,True
2024,Chile,Data Analyst,Semi Senior,Full Time,Híbrido,Salud,Startup,2170000,2384,"Linux, TensorFlow, Matplotlib, Looker, Machine Learning, Kubernetes, FastAPI, Excel",8,False,True
2023,Chile,AI Engineer,Lead,Full Time,Híbrido,Gobierno / Público,Grande (+500),12070000,13263,"TensorFlow, AWS, Seaborn, Keras, Airflow, GCP, Docker, FastAPI, Tableau, MLflow, Computer Vision",11,True,True
2023,Chile,MLOps Engineer,Junior,Full Time,Híbrido,Manufactura,Mediana (50-500),2620000,2879,"Pandas, NLP, Power BI, Matplotlib",4,False,False
2024,Chile,Data Scientist,Semi Senior,Full Time,Presencial,Retail / E-Commerce,Startup,3100000,3406,"Power Query, Estadística, NLP, BigQuery, Excel, R, MLflow, Python",8,False,False
2022,México,Data Analyst,Junior,Part Time,Híbrido,Salud,Mediana (50-500),1410000,1549,"Looker, TensorFlow, Snowflake, dbt, Git, Power Query",6,False,True
2023,Chile,BI Analyst,Semi Senior,Full Time,Híbrido,Fintech / Banca,Startup,2570000,2824,"FastAPI, R, NLP, Airflow, AWS, Machine Learning",6,True,False
2024,Chile,ML Engineer,Semi Senior,Full Time,Remoto,Tecnología,Mediana (50-500),5410000,5945,"Machine Learning, Azure, PyTorch, Docker, Estadística, scikit-learn, Linux",7,True,True
2022,Chile,Data Scientist,Semi Senior,Full Time,Híbrido,Manufactura,Pequeña (<50),2280000,2505,"MLflow, dbt, Looker, scikit-learn, Tableau, Git, Linux",7,False,True
2022,Chile,MLOps Engineer,Lead,Full Time,Híbrido,Salud,Mediana (50-500),6700000,7362,"Pandas, Spark, Linux, Power Query, Tableau, MLflow, BigQuery, PyTorch, NLP, Docker, GCP, Kubernetes, R, Estadística",14,True,True
2023,México,ML Engineer,Semi Senior,Full Time,Híbrido,Salud,Pequeña (<50),2670000,2934,"Excel, Computer Vision, Matplotlib, Tableau, BigQuery",5,False,False
2023,Colombia,MLOps Engineer,Junior,Contrato,Híbrido,Educación,Mediana (50-500),2190000,2406,"PyTorch, Power Query, NumPy, Power BI, R",5,False,True
2022,Chile,ML Engineer,Semi Senior,Full Time,Remoto,Minería,Grande (+500),4290000,4714,"Machine Learning, GCP, PyTorch, FastAPI, Azure",5,True,True
2024,México,AI Engineer,Junior,Contrato,Remoto,Seguros,Pequeña (<50),3160000,3472,"Power BI, Linux, FastAPI, Kubernetes",4,False,False
2022,Remoto Internacional,MLOps Engineer,Senior,Full Time,Remoto,Tecnología,Grande (+500),9980000,10967,"Snowflake, NLP, Python, Looker, Matplotlib, Azure, Estadística, Power BI",8,True,False
2022,Chile,MLOps Engineer,Senior,Full Time,Remoto,Minería,Grande (+500),6420000,7054,"scikit-learn, Pandas, Seaborn, FastAPI, Tableau, GCP, Git",7,True,True
2022,Chile,Data Engineer,Senior,Full Time,Híbrido,Telecomunicaciones,Grande (+500),5120000,5626,"NLP, Matplotlib, Docker, Keras, Computer Vision, Looker, FastAPI, NumPy",8,False,True
2022,Argentina,NLP Engineer,Senior,Full Time,Remoto,Tecnología,Grande (+500),10190000,11197,"Matplotlib, Machine Learning, Pandas, PyTorch, TensorFlow, Power Query, Looker, R, Deep Learning, dbt",10,False,True
2024,Argentina,AI Engineer,Senior,Full Time,Remoto,Fintech / Banca,Pequeña (<50),9520000,10461,"Linux, MLflow, Power BI, Spark, Power Query, GCP, Looker, TensorFlow, Deep Learning, Pandas, FastAPI, R",12,True,True
2024,Colombia,Data Scientist,Lead,Full Time,Híbrido,Seguros,Mediana (50-500),10000000,10989,"AWS, Deep Learning, Tableau, SQL, MLflow, R, Python, PyTorch, scikit-learn, Power Query, Linux, GCP, Airflow",13,True,True
2023,Chile,AI Engineer,Semi Senior,Full Time,Híbrido,Manufactura,Startup,3810000,4186,"BigQuery, Keras, dbt, Excel, Snowflake, R, Airflow, scikit-learn, Linux",9,False,True
2023,Chile,Data Engineer,Semi Senior,Full Time,Remoto,Educación,Grande (+500),2760000,3032,"Power BI, Spark, Excel, Machine Learning, BigQuery, Kubernetes",6,False,False
2022,Chile,Data Scientist,Junior,Full Time,Remoto,Telecomunicaciones,Grande (+500),2320000,2549,"Power Query, Matplotlib, Snowflake, Airflow",4,False,False
2022,Chile,Data Engineer,Semi Senior,Full Time,Presencial,Salud,Grande (+500),3080000,3384,"dbt, Snowflake, Tableau, Airflow, Matplotlib, MLflow, Pandas, R",8,False,False
2024,Chile,NLP Engineer,Semi Senior,Full Time,Híbrido,Seguros,Grande (+500),5010000,5505,"Airflow, scikit-learn, TensorFlow, Kubernetes, Seaborn, BigQuery",6,False,True
2023,Chile,Data Scientist,Junior,Full Time,Remoto,Fintech / Banca,Mediana (50-500),2860000,3142,"AWS, R, Estadística, Kubernetes",4,True,False
2024,Colombia,BI Analyst,Junior,Full Time,Presencial,Seguros,Pequeña (<50),1420000,1560,"AWS, Kubernetes, Snowflake",3,True,False
2023,Chile,Data Scientist,Lead,Full Time,Presencial,Tecnología,Startup,9980000,10967,"Computer Vision, Python, Seaborn, GCP, Keras, MLflow, Linux, Deep Learning, Looker, FastAPI, TensorFlow, Kubernetes, AWS",13,True,True
2023,Remoto Internacional,NLP Engineer,Lead,Full Time,Remoto,Retail / E-Commerce,Mediana (50-500),8210000,9021,"Matplotlib, Python, NumPy, Snowflake, Git, Looker, GCP, Machine Learning, Seaborn, Estadística, Keras, Power BI, scikit-learn",13,True,True
